CustomerID,Age,MonthlyCharges,Tenure,Contract,Churn
C0771,31,68,31,One year,Yes
C0772,32,60,24,Month-to-month,No
C0773,48,111,36,Month-to-month,Yes
C0774,18,31,30,Month-to-month,No
C0775,70,107,24,Month-to-month,Yes
C0776,20,106,30,Month-to-month,Yes
C0777,33,41,7,Month-to-month,Yes
C0778,40,68,35,Two year,No
C0779,28,95,55,Month-to-month,No
C0780,29,42,14,One year,Yes
C0781,27,75,10,Month-to-month,Yes
C0782,49,56,16,One year,Yes
C0783,33,46,54,One year,Yes
C0784,25,89,70,Two year,No
C0785,55,93,44,Month-to-month,Yes
C0786,29,117,45,One year,Yes
C0787,41,64,56,Month-to-month,Yes
C0788,45,99,57,One year,No
C0789,70,112,21,Month-to-month,Yes
C0790,25,59,68,Month-to-month,Yes
C0791,45,100,50,Month-to-month,Yes
C0792,53,103,33,Month-to-month,Yes
C0793,43,92,7,Month-to-month,No
C0794,25,57,70,Month-to-month,Yes
C0795,67,89,15,Two year,Yes
C0796,45,108,32,One year,No
C0797,45,66,20,Two year,No
C0798,54,51,15,Month-to-month,No
C0799,58,97,48,Two year,No
C0800,53,49,71,Two year,No
C0801,44,97,21,One year,No
C0802,34,120,42,One year,No
C0803,26,93,26,Month-to-month,No
C0804,50,46,14,Two year,Yes
C0805,70,41,57,Month-to-month,Yes
C0806,37,51,37,Month-to-month,Yes
C0807,30,46,58,Month-to-month,No
C0808,45,39,21,Two year,No
C0809,65,94,69,Two year,No
C0810,46,51,3,Two year,No
C0811,30,119,37,One year,No
C0812,63,111,49,Month-to-month,Yes
C0813,52,79,19,Month-to-month,Yes
C0814,23,43,12,Month-to-month,No
C0815,35,93,61,Month-to-month,No
C0816,68,76,41,Month-to-month,Yes
C0817,22,58,33,Month-to-month,No
C0818,64,105,50,Month-to-month,Yes
C0819,42,65,68,Two year,No
C0820,19,81,71,Month-to-month,Yes
C0821,27,105,33,Two year,No
C0822,47,36,24,One year,No
C0823,67,58,61,Month-to-month,Yes
C0824,62,40,61,Month-to-month,Yes
C0825,22,62,28,Month-to-month,No
C0826,50,35,58,Month-to-month,No
C0827,18,108,43,One year,No
C0828,35,61,41,Month-to-month,Yes
C0829,49,80,39,Month-to-month,No
C0830,64,104,49,Month-to-month,Yes
C0831,66,87,17,Two year,Yes
C0832,28,116,70,One year,No
C0833,38,55,70,One year,No
C0834,43,75,65,Month-to-month,Yes
C0835,42,58,5,One year,Yes
C0836,39,33,2,One year,No
C0837,44,110,22,One year,Yes
C0838,66,42,57,Two year,No
C0839,30,68,66,Month-to-month,No
C0840,50,44,16,Two year,Yes
C0841,51,58,51,Two year,Yes
C0842,58,58,39,Month-to-month,Yes
C0843,52,104,40,Month-to-month,No
C0844,18,61,38,Two year,No
C0845,38,31,60,Month-to-month,No
C0846,65,76,59,Month-to-month,No
C0847,23,107,10,Two year,No
C0848,45,113,64,One year,No
C0849,34,51,63,Month-to-month,No
C0850,22,104,49,One year,No
C0851,48,56,64,Month-to-month,No
C0852,22,96,32,Month-to-month,No
C0853,55,110,7,Month-to-month,No
C0854,20,85,21,One year,Yes
C0855,70,50,20,Month-to-month,Yes
C0856,40,76,26,One year,Yes
C0857,54,109,68,One year,Yes
C0858,70,88,15,Month-to-month,Yes
C0859,54,113,14,One year,No
C0860,27,35,27,Month-to-month,No
C0861,27,48,40,One year,Yes
C0862,36,86,58,Month-to-month,No
C0863,34,98,28,Two year,No
C0864,38,32,26,Month-to-month,Yes
C0865,31,30,63,Month-to-month,No
C0866,26,87,66,One year,No
C0867,63,67,25,Month-to-month,No
C0868,18,44,3,Month-to-month,No
C0869,68,63,72,One year,No
C0870,62,90,44,One year,Yes
C0871,30,64,42,One year,No
C0872,21,93,6,Month-to-month,Yes
C0873,18,54,39,One year,No
C0874,66,53,52,Month-to-month,Yes
C0875,57,41,23,One year,Yes
C0876,49,47,50,One year,No
C0877,51,44,43,Month-to-month,No
C0878,45,109,19,Month-to-month,No
C0879,48,56,69,Month-to-month,Yes
C0880,25,101,51,Month-to-month,Yes
C0881,56,89,11,Month-to-month,Yes
C0882,43,75,12,Month-to-month,Yes
C0883,51,118,8,One year,Yes
C0884,20,46,24,Month-to-month,Yes
C0885,67,82,41,Two year,No
C0886,29,37,36,Month-to-month,Yes
C0887,18,108,72,One year,No
C0888,61,56,55,One year,No
C0889,22,75,9,Month-to-month,Yes
C0890,47,79,47,Month-to-month,No
C0891,47,100,15,One year,Yes
C0892,34,32,48,Month-to-month,Yes
C0893,65,93,42,Two year,No
C0894,64,73,60,Month-to-month,Yes
C0895,40,82,70,Two year,No
C0896,32,53,12,Month-to-month,Yes
C0897,54,89,2,One year,No
C0898,38,32,7,One year,No
C0899,31,49,3,One year,Yes
C0900,19,75,3,Month-to-month,Yes
C0901,28,44,27,One year,No
C0902,68,54,40,Month-to-month,No
C0903,56,107,33,One year,No
C0904,55,100,1,Month-to-month,Yes
C0905,51,46,8,Two year,No
C0906,55,113,32,Month-to-month,No
C0907,67,38,48,Two year,No
C0908,51,67,4,Two year,No
C0909,35,77,70,Two year,No
C0910,47,89,19,Month-to-month,No
C0911,32,92,32,Month-to-month,Yes
C0912,44,115,9,Two year,No
C0913,68,31,12,Month-to-month,No
C0914,51,117,11,Month-to-month,Yes
C0915,69,101,46,One year,Yes
C0916,55,40,16,One year,No
C0917,50,93,1,Month-to-month,Yes
C0918,41,106,63,One year,No
C0919,32,110,21,Two year,Yes
C0920,47,101,30,Month-to-month,No
C0921,59,50,13,Two year,No
C0922,68,47,34,Month-to-month,Yes
C0923,34,93,4,Month-to-month,No
C0924,22,111,28,Month-to-month,No
C0925,46,67,59,Month-to-month,No
C0926,21,61,27,Two year,No
C0927,27,40,69,Month-to-month,No
C0928,34,74,25,Month-to-month,No
C0929,27,118,3,Month-to-month,Yes
C0930,34,62,68,One year,No
C0931,37,70,25,One year,No
C0932,41,37,20,Month-to-month,No
C0933,22,40,34,Month-to-month,Yes
C0934,51,115,26,Two year,No
C0935,23,80,5,Month-to-month,Yes
C0936,70,117,61,Month-to-month,No
C0937,19,70,9,Month-to-month,Yes
C0938,30,46,50,One year,Yes
C0939,60,105,6,Month-to-month,Yes
C0940,60,75,60,Month-to-month,Yes
C0941,65,61,44,Month-to-month,No
C0942,28,108,11,Two year,No
C0943,68,109,66,Month-to-month,No
C0944,64,83,47,One year,Yes
C0945,40,115,3,Month-to-month,Yes
C0946,33,49,30,Month-to-month,No
C0947,48,62,21,One year,No
C0948,28,103,28,Month-to-month,Yes
C0949,33,69,62,Two year,No
C0950,25,61,33,Two year,No
C0951,21,31,35,Two year,No
C0952,57,62,52,Month-to-month,No
C0953,21,106,34,One year,No
C0954,42,59,41,Month-to-month,Yes
C0955,20,62,51,Two year,No
C0956,49,106,47,One year,Yes
C0957,20,55,58,Two year,No
C0958,44,51,57,Month-to-month,No
C0959,46,95,23,Month-to-month,Yes
C0960,49,67,48,Month-to-month,Yes
C0961,67,119,22,One year,No
C0962,68,75,17,Month-to-month,No
C0963,36,44,69,Month-to-month,No
C0964,38,73,11,One year,No
C0965,22,78,15,One year,No
C0966,35,104,35,Month-to-month,No
C0967,45,90,33,One year,No
C0968,59,96,16,Month-to-month,No
C0969,39,35,34,Month-to-month,No
C0970,38,38,66,Month-to-month,Yes
C0971,23,35,40,Month-to-month,Yes
C0972,18,102,28,Month-to-month,Yes
C0973,22,61,47,One year,Yes
C0974,58,70,39,Month-to-month,Yes
C0975,29,105,70,Month-to-month,No
C0976,43,37,20,Two year,No
C0977,63,101,1,Month-to-month,Yes
C0978,51,79,72,Month-to-month,Yes
C0979,66,91,63,One year,Yes
C0980,31,113,67,Two year,No
C0981,43,91,4,One year,No
C0982,62,36,58,One year,No
C0983,44,104,25,Two year,No
C0984,26,113,47,Month-to-month,Yes
C0985,43,109,38,Two year,No
C0986,64,33,15,Month-to-month,No
C0987,39,35,63,Two year,No
C0988,64,87,21,Month-to-month,No
C0989,47,51,57,One year,No
C0990,60,55,53,Month-to-month,No
C0991,65,32,46,One year,No
C0992,34,70,14,Month-to-month,Yes
C0993,43,89,17,Two year,No
C0994,53,43,39,Two year,Yes
C0995,18,104,9,Month-to-month,No
C0996,25,111,6,Two year,No
C0997,66,41,23,One year,No
C0998,52,116,59,One year,Yes
C0999,69,41,46,Month-to-month,No
C1000,32,42,38,Month-to-month,No
